lib_epci,anc_moins_3_mois,anc_3_a_5_mois,anc_6_a_11_mois,anc_12_a_23_mois,anc_24_a_35_mois,anc_plus_36_mois,total
Bordeaux Métropole,17928,14431,13894,14854,6978,10256,78341
Brest Métropole,3981,3337,3153,3647,1883,2807,18808
CA Agglo Pays d'Issoire,997,769,793,890,493,818,4760
CA Agglo du Pays de Dreux,2136,1740,1967,2240,1114,1987,11184
CA Agglomération du Choletais,1786,1457,1424,1695,899,1467,8728
CA Alès Agglomération,2972,2248,2263,2497,1552,2540,14072
CA Amiens Métropole,3767,3028,3318,3729,1777,3335,18954
CA Annemasse- les Voirons-Agglomération,2290,1557,1608,1486,638,718,8297
CA Annonay Rhône Agglo,994,659,702,772,415,667,4209
CA Ardenne Métropole,2401,1893,2126,2454,1411,2553,12838
CA Arlysère,1313,733,779,712,343,358,4238
CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),1401,1067,1065,1181,626,847,6187
"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",781,592,657,810,390,606,3836
CA Bergeracoise,1197,988,926,1084,605,918,5718
CA Bourges Plus,1859,1411,1503,1752,880,1423,8828
CA Cannes Pays de Lérins,5066,2910,2996,3222,1659,2189,18042
CA Cap Excellence,2533,2201,2615,2932,1736,4986,17003
CA Carcassonne Agglo,2651,1939,1806,2027,1134,1904,11461
CA Caux Vallée de Seine,1295,1026,1035,1339,770,1315,6780
CA Chambéry Métropole-Coeur des Bauges,2702,1853,1738,1878,941,1012,10124
CA Chartres Métropole,2169,1804,1789,2124,1127,1607,10620
CA Chauny Tergnier la Fère,1038,879,962,1144,612,1172,5807
CA Châteauroux Métropole,1377,1155,1203,1396,712,1173,7016
CA Civis (Communauté Intercommunale des Villes Solidaires),5121,5081,5757,7077,3636,10321,36993
CA Clisson Sèvre et Maine Agglo,714,617,621,725,366,561,3604
CA Coeur d'Essonne Agglomération,3383,2382,2377,2435,1048,1396,13021
CA Colmar Agglomération,2086,1523,1711,1846,926,1388,9480
CA Communauté Paris-Saclay,4534,3449,3486,3482,1464,2036,18451
CA Concarneau Cornouaille Agglomération,951,741,718,847,436,587,4280
CA Creil Sud Oise,2313,1750,1858,1862,911,1430,10124
CA Dinan Agglomération,1669,1303,1321,1603,887,1246,8029
CA Dracénoise,2510,1795,1720,1786,873,1221,9905
CA Durance-Lubéron-Verdon Agglomération,1497,1026,1112,1302,615,877,6429
CA Ecla (Espace Communautaire Lons Agglomération),691,476,450,491,209,228,2545
"CA Epernay, Coteaux et Plaine de Champagne",940,673,744,769,409,658,4193
CA Etampois Sud Essonne,1014,704,693,703,320,449,3883
CA Evreux Portes de Normandie,2022,1722,1767,1980,981,1685,10157
CA Flers Agglo,886,714,750,915,465,765,4495
CA Fougères Agglomération,854,720,771,802,400,576,4123
CA Fécamp Caux Littoral Agglomération,656,566,628,740,345,549,3484
CA Gap-Tallard-Durance,960,754,722,799,355,488,4078
CA Golfe du Morbihan - Vannes Agglomération,3150,2380,2307,2742,1329,1749,13657
CA Grand Auch Coeur de Gascogne,746,552,460,495,242,409,2904
CA Grand Belfort,2023,1630,1589,1678,821,1315,9056
CA Grand Lac- Communauté d'Agglomération du Lac du Bourget,1509,956,892,970,445,487,5259
CA Grand Montauban,1904,1432,1592,1707,778,1047,8460
CA Grand Paris Sud Seine Essonne Sénart,7476,5536,5540,5476,2480,3115,29623
CA Grand Sud Caraïbe,1958,1664,2022,2137,1385,4120,13286
CA Grand-Poitiers,3238,2749,2592,2776,1418,2065,14838
CA Guingamp-Paimpol Armor-Argoat Agglomération,1304,1052,1016,1174,651,1000,6197
"CA Havraise (Co,D,A,H,)",4986,4165,4318,4937,2534,5134,26074
CA Hermitage-Tournonais-Herbasse-Pays de Saint Félicien,1101,891,812,1007,486,794,5091
CA Hérault-Méditerranée,2919,1667,1592,1926,1008,1448,10560
CA Intercommunale de la Réunion Est (Cirest),3446,3424,3595,4496,2163,4833,21957
CA Intercommunale du Nord de la Réunion (Cinor),5484,5198,5383,6316,3110,7646,33137
CA Lannion-Trégor Communauté,1835,1237,1215,1446,764,1204,7701
CA Limoges Métropole,3450,2919,2790,3382,1651,3066,17258
CA Lisieux Normandie,1300,860,893,1001,481,770,5305
CA Loire Forez,1654,1320,1319,1390,706,1036,7425
CA Lorient Agglomération,3840,3021,2976,3535,1776,3118,18266
CA Luberon Monts de Vaucluse,1371,952,1084,1253,650,919,6229
CA Marne et Gondoire,1587,1252,1210,1224,543,756,6572
CA Maubeuge Val de Sambre,3081,2398,2536,2824,1542,3023,15404
CA Mauges Communauté,1397,1100,684,523,272,423,4399
CA Melun Val de Seine,3011,1962,1954,2043,928,1271,11169
CA Metz Métropole,4827,3769,3557,3711,1934,3331,21129
CA Mont de Marsan Agglomération,977,772,759,802,399,554,4263
CA Mont-Saint-Michel-Normandie,1281,881,902,925,496,703,5188
"CA Montargoise et Rives du Loing (A,M,E,)",1414,1129,1139,1316,712,1204,6914
CA Montluçon Communauté,1123,968,963,1095,622,1247,6018
CA Montélimar Agglomération,1530,1077,1137,1378,649,920,6691
CA Morlaix Communauté,1089,889,859,1135,557,855,5384
CA Moulins Communauté,1139,825,898,991,554,939,5346
CA Mulhouse Alsace Agglomération,6555,5059,4758,4922,2440,3711,27445
CA Mâconnais Beaujolais Agglomération,1607,1209,1194,1292,628,953,6883
CA Paris - Vallée de la Marne,4219,3021,3208,3270,1474,2074,17266
CA Pau Béarn Pyrénées,3145,2605,2495,2526,1266,1938,13975
CA Pays Foix-Varilhes,761,452,463,525,248,363,2812
CA Pays de Montbéliard Agglomération,2829,2182,2265,2270,1356,2189,13091
CA Plaine Vallée,3209,2391,2234,2282,1010,1578,12704
CA Pornic Agglo Pays de Retz,930,746,688,898,399,662,4323
"CA Porte de l'Isère (C,A,P,I)",2506,1758,1800,2048,889,1111,10112
CA Portes de France-Thionville,1417,1122,1091,1267,623,867,6387
CA Privas Centre Ardèche,909,602,589,723,317,488,3628
CA Provence-Alpes-Agglomération,1101,762,769,911,448,675,4666
CA Quimper Bretagne Occidentale,1831,1501,1463,1705,871,1339,8710
CA Rambouillet Territoires,926,729,693,774,351,485,3958
CA Roannais Agglomération,1817,1423,1454,1751,880,1493,8818
CA Rochefort Océan,1286,1087,993,1211,669,1052,6298
CA Rodez Agglomération,903,724,725,710,358,430,3850
CA Roissy Pays de France,8408,5717,6100,5967,2699,4142,33033
CA Royan Atlantique,2031,1315,1094,1406,752,892,7490
CA Saint Germain Boucles de Seine,4802,3724,3608,3974,1818,2732,20658
CA Saint-Brieuc Armor Agglomération,2696,2306,2345,2430,1250,2205,13232
CA Saint-Louis Agglomération,1355,990,1058,1112,516,577,5608
CA Saint-Lô Agglo,1163,903,921,1006,511,609,5113
CA Sarreguemines Confluences,1298,907,919,1045,528,878,5575
CA Saumur Val de Loire,1857,1459,1526,1758,995,2047,9642
CA Seine Eure,1304,1149,1108,1371,691,1338,6961
CA Seine Normandie Agglomération,1525,1241,1139,1320,668,1205,7098
CA Sud Sainte Baume,1233,826,843,927,442,655,4926
CA Tarbes-Lourdes-Pyrénées,4314,1989,1912,2143,1057,1920,13335
CA Terre de Provence,1397,882,1003,1030,480,700,5492
CA Territoire de la Côte Ouest (Tco),5841,6107,6747,8479,4116,10534,41824
CA Territoires Vendômois,844,734,699,845,435,763,4320
CA Thonon Agglomération,1847,1151,1165,1172,542,543,6420
CA Toulon Provence Méditerranée,9482,6618,6438,7450,3653,4949,38590
CA Troyes Champagne Métropole,3918,3143,3430,3440,1672,2711,18314
CA Tulle Agglo,640,492,498,578,267,436,2911
CA Val Parisis,4366,3631,3267,3608,1720,2673,19265
CA Val d'Europe Agglomération,538,432,354,402,178,224,2128
CA Val d'Yerres Val de Seine,3064,2242,2301,2284,1009,1342,12242
CA Val de Garonne Agglomération,1114,919,846,1071,607,820,5377
CA Valence Romans Agglo,4875,3610,3649,4282,1989,3415,21820
CA Valenciennes Métropole,4373,3478,3320,3832,2014,3699,20716
CA Var Esterel Méditerranée (Cavem),3442,1943,1850,1912,956,1123,11226
CA Ventoux-Comtat-Venaissin (Cove),1729,1277,1337,1437,803,1156,7739
"CA Versailles Grand Parc (C,A,V,G,P,)",3278,2390,2307,2491,1106,1660,13232
CA Vichy Communauté,1463,1147,1149,1426,811,1469,7465
CA Viennagglo,1340,1042,991,1059,467,618,5517
CA Villefranche Beaujolais Saône,1462,1055,1115,1251,573,796,6252
CA Vitré Communauté,1147,1102,1033,1128,581,575,5566
CA d'Agen,1857,1455,1466,1625,809,1193,8405
CA d'Arles-Crau-Camargue-Montagnette,2747,1709,1757,1728,904,1301,10146
CA d'Epinal,2079,1537,1481,1718,1002,1707,9524
CA d'hénin-Carvin,2577,2195,2144,2679,1447,2515,13557
CA de Bar-Le-Duc - Sud Meuse,578,484,450,567,281,496,2856
CA de Bastia,1092,632,565,609,278,304,3480
CA de Blois ''agglopolys'',2069,1486,1595,1799,896,1417,9262
"CA de Béthune-Bruay, Artois-Lys Romane",4807,3867,3969,4827,2669,4710,24849
CA de Béziers-Méditerranée,3683,2420,2365,2790,1338,2067,14663
CA de Cambrai,1669,1321,1411,1577,823,1748,8549
CA de Castres Mazamet,1738,1234,1223,1317,680,1260,7452
CA de Cergy-Pontoise,4478,3288,3402,3572,1554,2338,18632
"CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles",778,583,596,526,281,427,3191
CA de Châlons-En-Champagne,1574,1134,1232,1185,606,1037,6768
CA de Forbach Porte de France,1899,1336,1414,1358,758,1321,8086
CA de Haguenau,1526,1186,1222,1361,747,1075,7117
CA de Laval,1585,1321,1373,1436,667,1011,7393
CA de Lens - Liévin,4663,3931,4190,4930,2690,5181,25585
CA de Longwy,1165,744,813,1005,467,830,5024
CA de Nevers,1201,914,919,911,459,695,5099
CA de Nîmes Métropole,6395,4868,4760,5077,2674,4328,28102
CA de Saint Quentin en Yvelines,4088,3015,3011,3058,1336,1718,16226
CA de Saint-Dizier Der et Blaise,1063,888,949,1032,527,979,5438
CA de Saint-Dié-Des-Vosges,1331,1003,1164,1425,820,1742,7485
CA de Saintes,1121,850,883,955,520,821,5150
CA de Sophia Antipolis,4582,2687,2580,3026,1419,1805,16099
CA de Vesoul,667,465,494,472,265,382,2745
CA de l'Albigeois (C2a),1680,1223,1296,1276,627,1001,7103
CA de l'Auxerrois,1135,940,949,948,569,874,5415
CA de l'Espace Sud de la Martinique,2880,2409,2505,2784,1583,3843,16004
CA de l'Ouest Rhodanien,762,602,620,723,368,524,3599
CA de la Baie de Somme,939,766,804,971,520,907,4907
CA de la Porte du Hainaut,3380,2700,2866,3395,1776,3246,17363
CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),1628,997,904,1197,576,737,6039
CA de la Provence Verte,1986,1555,1552,1796,790,1085,8764
CA de la Riviera Française,1967,1016,1071,1160,520,635,6369
CA de la Rochelle,3354,2740,2522,3052,1560,2329,15557
CA de la Région Dieppoise,1061,769,791,899,453,1026,4999
CA de la Région Nazairienne et de l'Estuaire (Carene),2562,2017,2036,2199,1220,1830,11864
CA de la Région de Château-Thierry,1065,797,882,1074,541,932,5291
CA de la Région de Compiègne et de la Basse Automne,1488,1221,1307,1473,665,1099,7253
CA des Deux Baies en Montreuillois,1243,897,870,1147,612,1051,5820
CA du Bassin d'Aurillac,779,651,626,674,339,539,3608
CA du Bassin de Bourg-En-Bresse,2141,1646,1613,1898,878,1099,9275
CA du Bassin de Brive,1906,1465,1521,1829,933,1450,9104
CA du Bassin de Thau,3238,2193,2287,2626,1372,2251,13967
CA du Beauvaisis,2160,1628,1695,1788,944,1567,9782
CA du Bocage Bressuirais,1073,946,953,1114,565,792,5443
CA du Boulonnais,2499,2040,2050,2562,1298,2350,12799
CA du Calaisis,2265,2009,1708,2233,1138,2460,11813
CA du Centre Littoral,3772,3248,3092,2171,937,1512,14732
CA du Centre de la Martinique,3778,3084,3291,3594,1909,5026,20682
CA du Cotentin,2145,1707,1581,1816,950,1437,9636
"CA du Douaisis [c,A,D,]",2955,2645,2773,3144,1755,3411,16683
CA du Gard Rhodanien,1631,1221,1224,1399,697,969,7141
CA du Grand Angoulême,2869,2348,2306,2451,1322,2274,13570
CA du Grand Annecy,2301,1599,1503,1502,588,731,8224
CA du Grand Avignon (Coga),5090,3633,3957,4082,2123,3050,21935
CA du Grand Besançon,3871,2736,2762,2748,1324,1898,15339
CA du Grand Cahors,880,655,672,707,365,607,3886
CA du Grand Cognac,1244,994,1043,1182,591,888,5942
CA du Grand Dax,1422,935,883,1049,545,708,5542
CA du Grand Dole,1007,672,737,795,386,559,4156
CA du Grand Guéret,448,369,321,362,202,362,2064
CA du Grand Sénonais,1199,968,1068,1072,563,857,5727
CA du Grand Verdun,504,410,420,435,212,403,2384
CA du Grand Villeneuvois,998,759,731,934,512,655,4589
CA du Libournais,1901,1598,1636,1838,933,1459,9365
CA du Niortais,2056,1622,1644,1837,918,1331,9408
CA du Nord Basse-Terre,1876,1691,1858,2064,1168,3104,11761
CA du Nord Grande Terre,1324,1151,1381,1706,1046,3270,9878
CA du Pays Ajaccien,1958,878,869,851,382,490,5428
CA du Pays Basque,6704,4275,4262,4820,2276,3313,25650
CA du Pays Châtelleraudais,1478,1228,1166,1405,776,1213,7266
CA du Pays Nord Martinique,2613,2136,2060,2250,1286,3699,14044
CA du Pays Voironnais,1555,1177,1094,1230,571,666,6293
CA du Pays de Fontainebleau,983,681,706,712,341,515,3938
CA du Pays de Grasse,2264,1565,1590,1669,773,872,8733
CA du Pays de Laon,889,798,769,885,539,1067,4947
CA du Pays de Meaux,1922,1495,1598,1642,649,977,8283
CA du Pays de Quimperlé,897,783,759,947,488,670,4544
CA du Pays de Saint Malo - Saint Malo Agglomération,1771,1190,1241,1331,662,930,7125
CA du Pays de Saint-Omer,1910,1535,1541,1837,1000,1895,9718
CA du Pays de l'Or,1275,975,925,1034,486,782,5477
CA du Puy-En-Velay,1434,1043,1031,1254,597,987,6346
CA du Rabastinois - Tarn et Dadou - Vère Grésigne et Pays Salvagnacois,1484,1095,1181,1324,581,1124,6789
CA du Saint-Quentinois,1686,1464,1639,1794,997,2216,9796
CA du Sicoval,1157,988,1015,1060,485,782,5487
CA du Soissonnais,1172,834,995,1223,647,1281,6152
CA du Sud,3784,3661,3585,5292,2769,7369,26460
CA du Val de Fensch,1434,1226,1227,1283,653,1099,6922
CA la Riviéra du Levant,1731,1543,1613,1892,1113,3001,10893
CA la Roche Sur Yon - Agglomération,1719,1501,1525,1575,850,1307,8477
CA le Grand Chalon,1976,1563,1689,2007,1047,1587,9869
CA le Grand Narbonne,3187,2327,2333,2689,1462,2394,14392
CA le Grand Périgueux,1898,1476,1487,1623,795,1231,8510
CA le Muretain Agglo,2253,1806,1818,2056,1032,1583,10548
CA les Sables d'Olonne Agglomération,1014,712,702,856,508,771,4563
CC Adour Madiran,478,320,326,363,169,282,1938
CC Agglo Saint-Avold Centre Mosellan,1065,754,736,956,537,743,4791
CC Agly Fenouillèdes,138,94,97,128,91,113,661
CC Airvaudais-Val du Thouet,94,73,77,110,49,104,507
CC Albret Communauté,434,346,363,418,223,408,2192
CC Alpes d'Azur,153,117,145,133,53,91,692
"CC Alpes-Provence-Verdon ""sources de Lumière""",277,157,160,186,97,136,1013
CC Altitude 800,76,58,77,59,30,36,336
CC Ambert Livradois Forez,382,302,331,357,240,364,1976
CC Amognes Coeur du Nivernais,105,82,87,95,53,87,509
CC Andaine - Passais,238,120,113,117,57,80,725
CC Anjou Bleu Communauté,378,275,276,341,172,264,1706
CC Anjou Loir et Sarthe,383,310,367,403,254,417,2134
"CC Arbois, Poligny, Salins, Coeur du Jura",266,208,235,271,123,193,1296
CC Arc Sud Bretagne,441,314,384,417,213,287,2056
"CC Ardenne, Rives de Meuse",572,421,495,561,294,487,2830
CC Ardennes Thiérache,134,116,121,126,81,128,706
CC Ardèche Rhône Coiron,456,357,360,455,201,352,2181
CC Ardèche des Sources et Volcans,215,144,130,182,95,165,931
CC Argentan Intercom,471,387,390,422,227,314,2211
CC Argonne-Meuse,95,66,72,82,42,82,439
CC Arize Lèze,179,134,151,166,84,161,875
CC Armagnac Adour,102,52,78,100,45,60,437
CC Arnon Boischaut Cher,131,81,91,134,79,94,610
CC Artagnan de Fezensac,99,70,68,71,36,61,405
CC Arve et Salève,280,231,242,225,92,55,1125
CC Astarac Arros en Gascogne,89,82,79,77,46,70,443
CC Au Pays de la Roche Aux Fées,295,326,318,392,183,273,1787
CC Aubrac Lot Causse et Pays de Chanac,100,65,73,93,31,33,395
CC Aubrac et Carladez,112,72,52,64,28,48,376
CC Aunis Atlantique,528,429,422,483,213,357,2432
CC Aunis Sud,553,443,411,536,279,425,2647
CC Auray Quiberon Terre Atlantique,1960,1268,1176,1524,764,1114,7806
CC Aure Louron,173,103,162,159,76,97,770
CC Auxonne Pontailler Val de Saône,385,292,316,401,216,275,1885
CC Auzon Communauté,167,142,133,153,80,166,841
"CC Avallon, Vézelay, Morvan",346,252,293,256,131,141,1419
CC Aveyron Ségala Viaur,71,49,68,60,19,28,295
CC Avre Luce Noye,331,282,293,345,174,286,1711
CC Aygues-Ouvèze en Provence (Ccaop),344,325,308,333,167,199,1676
CC Bassée-Montois,304,270,245,274,136,236,1465
CC Bastides de Lomagne,145,121,93,131,62,111,663
CC Bastides et Vallons du Gers,95,75,83,98,48,77,476
CC Baugeois Vallée,485,417,369,402,218,442,2333
CC Bazois Loire Morvan,193,135,145,192,107,172,944
CC Beaucaire Terre d'Argence,939,657,704,820,454,552,4126
CC Beauce Val de Loire,264,247,258,285,162,252,1468
CC Beaujolais Pierres Dorées,601,419,425,521,240,262,2468
CC Berg et Coiron,172,107,111,152,72,122,736
CC Berry Grand Sud,162,141,149,174,91,191,908
CC Berry Loire Puisaye,292,251,267,331,188,356,1685
CC Berry-Loire-Vauvise,98,58,72,91,46,73,438
CC Billom Communauté,354,289,293,339,179,302,1756
CC Bièvre Isère,919,682,684,846,358,529,4018
