code_epci,lib_epci,anc_moins_3_mois,anc_3_a_5_mois,anc_6_a_11_mois,anc_12_a_23_mois,anc_24_a_35_mois,anc_plus_36_mois,total
243300316.0,Bordeaux Métropole,17137,13820,13778,16557,7651,11375,80318
242900314.0,Brest Métropole,3709,3215,3229,3771,1747,3039,18710
200066918.0,CA Alès Agglomération,2613,2202,2429,2985,1575,2746,14550
248000531.0,CA Amiens Métropole,3741,3105,3293,4338,2074,3663,20214
200011773.0,CA Annemasse-les Voirons-Agglomération,2166,1453,1717,1921,790,841,8888
200072015.0,CA Annonay Rhône Agglo,790,728,696,930,525,725,4394
200041630.0,CA Ardenne Métropole,2081,1677,1999,2602,1500,2697,12556
200068997.0,CA Arlysère,1247,678,659,599,252,327,3762
243300563.0,CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),1487,1055,1003,1258,624,955,6382
200006682.0,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",773,542,549,787,389,632,3672
200070647.0,CA Bergeracoise,1144,875,951,1208,592,966,5736
241800507.0,CA Bourges Plus,1795,1375,1352,1700,890,1638,8750
200039915.0,CA Cannes Pays de Lérins,4696,2767,2818,3711,1848,2556,18396
200018653.0,CA Cap Excellence,2416,2110,2405,3313,1898,4916,17058
200035715.0,CA Carcassonne Agglo,2246,1730,1877,2374,1263,2041,11531
200010700.0,CA Caux Seine Agglo,1142,1040,1069,1578,813,1472,7114
200069110.0,CA Chambéry Métropole-Coeur des Bauges,2487,1815,1738,2046,960,1205,10251
200033181.0,CA Chartres Métropole,2234,1826,1937,2568,1194,1918,11677
243600327.0,CA Châteauroux Métropole,1429,1082,1181,1540,771,1253,7256
200071785.0,CA Chauny Tergnier la Fère,969,839,913,1370,634,1169,5894
249740077.0,CA Civis (Communauté Intercommunale des Villes Solidaires),4670,4540,6313,8200,4336,10575,38634
200067635.0,CA Clisson Sèvre et Maine Agglo,722,620,630,745,415,611,3743
200057859.0,CA Coeur d'Essonne Agglomération,3082,2431,2489,2735,1156,1516,13409
246800726.0,CA Colmar Agglomération,1964,1371,1661,1764,954,1516,9230
200056232.0,CA Communauté Paris-Saclay,4279,3398,3376,3883,1745,2250,18931
242900769.0,CA Concarneau Cornouaille Agglomération,952,678,651,817,459,632,4189
200077055.0,CA Coulommiers Pays de Brie,1147,903,987,1150,505,700,5392
200068047.0,CA Creil Sud Oise,2090,1612,1820,2144,1051,1523,10240
200035459.0,CA d'Agen,1744,1459,1500,1800,874,1274,8651
241300417.0,CA d'Arles-Crau-Camargue-Montagnette,2501,1571,1724,2252,1110,1452,10610
200033025.0,CA de Bar-le-Duc - Sud Meuse,555,438,465,543,313,526,2840
242000354.0,CA de Bastia,1138,542,544,609,269,315,3417
200072460.0,"CA de Béthune-Bruay, Artois-Lys Romane",4438,3733,4203,5839,2707,4736,25656
243400769.0,CA de Béziers-Méditerranée,3241,2454,2552,3179,1641,2362,15429
200030385.0,CA de Blois Agglopolys,1934,1401,1585,1929,956,1527,9332
200068500.0,CA de Cambrai,1457,1265,1472,2012,960,1757,8923
248100430.0,CA de Castres Mazamet,1537,1175,1349,1575,772,1186,7594
249500109.0,CA de Cergy-Pontoise,4268,3154,3467,4038,1850,2581,19358
200066876.0,CA de Châlons-en-Champagne,1316,989,1223,1441,761,1016,6746
200068658.0,"CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles",687,527,563,659,317,438,3191
245700372.0,CA de Forbach Porte de France,1458,1120,1247,1554,927,1338,7644
200067874.0,CA de Haguenau,1486,1070,1195,1375,748,1194,7068
200070993.0,CA de la Baie de Somme,958,740,800,1032,441,928,4899
200042190.0,CA de la Porte du Hainaut,3160,2681,2880,3985,2037,3406,18149
244400610.0,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),1492,960,949,1199,634,897,6131
200068104.0,CA de la Provence Verte,1860,1477,1588,1984,916,1257,9082
200072031.0,CA de la Région de Château-Thierry,980,830,945,1191,519,955,5420
200067965.0,CA de la Région de Compiègne et de la Basse Automne,1436,1090,1272,1628,841,1226,7493
247600786.0,CA de la Région Dieppoise,829,735,823,1088,551,1039,5065
244400644.0,CA de la Région Nazairienne et de l'Estuaire (Carene),2621,1990,2039,2519,1290,2038,12497
240600551.0,CA de la Riviera Française,1840,927,1036,1132,545,708,6188
241700434.0,CA de la Rochelle,3402,2664,2711,3447,1603,2515,16342
248100737.0,CA de l'Albigeois (C2a),1561,1261,1290,1506,732,1035,7385
200067114.0,CA de l'Auxerrois,1151,813,822,1083,541,877,5287
245300330.0,CA de Laval,1604,1318,1239,1479,729,1088,7457
246200364.0,CA de Lens - Liévin,4564,3526,4169,5591,2706,4850,25406
249720053.0,CA de l'Espace Sud de la Martinique,2460,2264,2733,3572,1960,3618,16607
245400262.0,CA de Longwy,894,688,807,1012,529,830,4760
200040566.0,CA de l'Ouest Rhodanien,738,631,588,736,346,580,3619
245804406.0,CA de Nevers,1128,702,819,961,446,669,4725
243000643.0,CA de Nîmes Métropole,5825,4615,4658,5900,3048,4748,28794
200071066.0,CA de Saint-Dié-Des-Vosges,1210,962,1106,1479,883,1772,7412
200068666.0,CA de Saint-Dizier Der et Blaise,930,719,791,1209,630,1009,5288
200036473.0,CA de Saintes,967,825,860,1175,592,890,5309
200058782.0,CA de Saint-Quentin-en-Yvelines,3495,2775,2986,3643,1699,2007,16605
240600585.0,CA de Sophia Antipolis,4248,2491,2614,3242,1603,2219,16417
247000011.0,CA de Vesoul,627,446,442,538,269,386,2708
200068757.0,CA d'Épinal,1911,1430,1560,2030,1028,1727,9686
200069029.0,CA des Deux Baies en Montreuillois,1162,825,891,1338,616,1041,5873
246200299.0,CA d'Hénin-Carvin,2282,1909,2275,3207,1622,2703,13998
200068989.0,CA Dinan Agglomération,1550,1256,1371,1703,829,1361,8070
248300493.0,CA Dracénoise,2245,1683,1731,2054,1087,1391,10191
241500230.0,CA du Bassin d'Aurillac,765,544,599,677,324,508,3417
200071751.0,CA du Bassin de Bourg-en-Bresse,2109,1641,1684,2027,891,1230,9582
200043172.0,CA du Bassin de Brive,1772,1358,1525,1830,909,1470,8864
200066355.0,CA du Bassin de Thau,2884,2164,2228,3047,1519,2443,14285
243301504.0,CA du Bassin Nord,1299,903,952,1205,592,863,5814
