EPCI,Catégorie A,Catégorie B,Catégorie C,Catégorie D,Catégorie E
Bordeaux Métropole,48768,11474,18099,4878,6662
Brest Métropole,11946,2420,4442,1505,1279
CA Agglo Pays d'Issoire,2830,679,1251,299,438
CA Agglo du Pays de Dreux,7291,1283,2610,700,777
CA Agglomération du Choletais,4413,1135,3180,608,563
CA Alès Agglomération,10180,1547,2345,875,1441
CA Amiens Métropole,12746,2160,4048,1387,1239
CA Annemasse- les Voirons-Agglomération,6213,814,1270,413,278
CA Annonay Rhône Agglo,2532,557,1120,291,278
CA Ardenne Métropole,8833,1359,2646,788,913
CA Arlysère,2434,663,1141,178,221
CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),4127,847,1213,237,519
"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",2154,578,1104,285,226
CA Bergeracoise,3700,840,1178,469,635
CA Bourges Plus,5863,1074,1891,528,668
CA Cannes Pays de Lérins,12954,2315,2773,939,985
CA Cap Excellence,14632,908,1463,586,524
CA Carcassonne Agglo,7708,1491,2262,881,1033
CA Caux Vallée de Seine,4091,869,1820,538,554
CA Chambéry Métropole-Coeur des Bauges,6274,1472,2378,752,851
CA Chartres Métropole,6396,1357,2867,688,809
CA Chauny Tergnier la Fère,4033,624,1150,442,419
CA Châteauroux Métropole,4221,943,1852,488,490
CA Civis (Communauté Intercommunale des Villes Solidaires),31252,2777,2964,1120,3802
CA Clisson Sèvre et Maine Agglo,1633,592,1379,293,349
CA Coeur d'Essonne Agglomération,8515,1452,3054,828,864
CA Colmar Agglomération,5899,1191,2390,560,425
CA Communauté Paris-Saclay,12106,2230,4115,1002,1503
CA Concarneau Cornouaille Agglomération,2612,649,1019,263,403
CA Creil Sud Oise,6938,1100,2086,550,445
CA Dinan Agglomération,4490,1216,2323,560,722
CA Dracénoise,7119,1105,1681,582,988
CA Durance-Lubéron-Verdon Agglomération,4205,809,1415,397,453
CA Ecla (Espace Communautaire Lons Agglomération),1531,369,645,203,198
"CA Epernay, Coteaux et Plaine de Champagne",2514,617,1062,237,334
CA Etampois Sud Essonne,2547,476,860,196,292
CA Evreux Portes de Normandie,6513,1162,2482,829,700
CA Flers Agglo,2644,673,1178,368,272
CA Fougères Agglomération,2280,583,1260,376,224
CA Fécamp Caux Littoral Agglomération,2154,480,850,344,337
CA Gap-Tallard-Durance,2528,570,980,357,311
CA Golfe du Morbihan - Vannes Agglomération,8108,2085,3464,970,929
CA Grand Auch Coeur de Gascogne,1750,448,706,243,371
CA Grand Belfort,5980,967,2109,529,581
CA Grand Lac- Communauté d'Agglomération du Lac du Bourget,3205,734,1320,344,578
CA Grand Montauban,5595,1011,1854,556,647
CA Grand Paris Sud Seine Essonne Sénart,19644,3302,6677,1584,1617
CA Grand Sud Caraïbe,11561,636,1089,516,559
CA Grand-Poitiers,8667,2428,3743,1414,1011
CA Guingamp-Paimpol Armor-Argoat Agglomération,3772,900,1525,378,424
"CA Havraise (Co,D,A,H,)",16793,3134,6147,1809,1167
CA Hermitage-Tournonais-Herbasse-Pays de Saint Félicien,3036,763,1292,350,329
CA Hérault-Méditerranée,7919,1107,1534,505,793
CA Intercommunale de la Réunion Est (Cirest),19034,1300,1623,765,2185
CA Intercommunale du Nord de la Réunion (Cinor),27096,2508,3533,1088,2751
CA Lannion-Trégor Communauté,4766,1193,1742,506,915
CA Limoges Métropole,10868,2308,4082,1321,1495
CA Lisieux Normandie,3206,797,1302,399,343
CA Loire Forez,4067,1111,2247,553,755
CA Lorient Agglomération,10614,2725,4927,1368,1241
CA Luberon Monts de Vaucluse,4149,770,1310,294,373
CA Marne et Gondoire,4368,751,1453,376,404
CA Maubeuge Val de Sambre,11326,1320,2758,1133,1226
CA Mauges Communauté,2122,664,1613,355,309
CA Melun Val de Seine,7348,1299,2522,560,596
CA Metz Métropole,14330,2507,4292,1502,1479
CA Mont de Marsan Agglomération,2482,541,1240,436,430
CA Mont-Saint-Michel-Normandie,2940,809,1439,310,250
"CA Montargoise et Rives du Loing (A,M,E,)",4607,791,1516,443,344
CA Montluçon Communauté,3881,728,1409,387,408
CA Montélimar Agglomération,4370,766,1555,475,436
CA Morlaix Communauté,3213,752,1419,387,472
CA Moulins Communauté,3359,750,1237,463,511
CA Mulhouse Alsace Agglomération,19223,3021,5201,1597,1313
CA Mâconnais Beaujolais Agglomération,3888,918,2077,480,323
CA Paris - Vallée de la Marne,11758,1835,3673,1036,906
