epci,categorie_a,categorie_b,categorie_c,categorie_d,categorie_e
Bordeaux Métropole,49633,12685,19658,3945,6210
Brest Métropole,11352,2545,4830,1458,1199
CA Agglo Pays d'Issoire,2725,743,1491,199,394
CA Agglo du Pays de Dreux,7174,1334,2716,576,629
CA Agglomération du Choletais,4421,1194,3264,524,591
CA Alès Agglomération,10210,1664,2602,865,1349
CA Amiens Métropole,12905,2417,4703,965,1085
CA Annemasse- les Voirons-Agglomération,6406,841,1553,293,304
CA Annonay Rhône Agglo,2471,675,1268,201,241
CA Ardenne Métropole,8325,1520,2995,619,753
CA Arlysère,2176,711,1040,166,191
CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),4015,917,1242,292,677
"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",2154,622,1145,191,233
CA Bergeracoise,3617,889,1296,400,558
CA Bourges Plus,5791,1121,2012,491,522
CA Cannes Pays de Lérins,13179,2391,3050,755,1023
CA Cap Excellence,14719,977,1593,582,420
CA Carcassonne Agglo,7626,1554,2470,822,954
CA Caux Vallée de Seine,4163,936,2105,418,534
CA Chambéry Métropole-Coeur des Bauges,6071,1518,2715,611,794
CA Chartres Métropole,6480,1362,3006,501,715
CA Chauny Tergnier la Fère,4132,724,1295,323,363
CA Châteauroux Métropole,4350,964,2034,412,361
CA Civis (Communauté Intercommunale des Villes Solidaires),30807,2923,3341,901,3528
CA Clisson Sèvre et Maine Agglo,1637,621,1474,213,311
CA Coeur d'Essonne Agglomération,8592,1521,3325,600,792
CA Colmar Agglomération,5816,1153,2536,449,395
CA Communauté Paris-Saclay,12206,2268,4459,754,1394
CA Concarneau Cornouaille Agglomération,2595,639,1113,242,378
CA Creil Sud Oise,6921,1121,2236,457,436
CA Dinan Agglomération,4553,1268,2493,502,686
CA Dracénoise,7113,1140,1877,547,957
CA Durance-Lubéron-Verdon Agglomération,4380,905,1445,350,425
CA Ecla (Espace Communautaire Lons Agglomération),1481,340,652,172,187
"CA Epernay, Coteaux et Plaine de Champagne",2483,623,1136,189,317
CA Etampois Sud Essonne,2453,485,922,211,304
CA Evreux Portes de Normandie,6412,1169,2749,707,654
CA Flers Agglo,2675,677,1260,267,283
CA Fougères Agglomération,2168,553,1386,343,243
CA Fécamp Caux Littoral Agglomération,2282,527,944,281,291
CA Gap-Tallard-Durance,2545,662,1022,293,316
CA Golfe du Morbihan - Vannes Agglomération,7960,2081,3893,911,955
CA Grand Auch Coeur de Gascogne,1654,486,819,189,381
CA Grand Belfort,5574,1090,2397,450,515
CA Grand Lac- Communauté d'Agglomération du Lac du Bourget,3176,799,1460,248,523
CA Grand Montauban,5520,1026,2042,480,517
CA Grand Paris Sud Seine Essonne Sénart,19344,3387,7326,1239,1536
CA Grand Sud Caraïbe,11946,683,1113,408,381
CA Grand-Poitiers,8530,2553,4179,1196,883
CA Guingamp-Paimpol Armor-Argoat Agglomération,3733,924,1635,355,432
"CA Havraise (Co,D,A,H,)",17475,3379,6308,1580,1085
CA Hermitage-Tournonais-Herbasse-Pays de Saint Félicien,3138,756,1446,273,336
CA Hérault-Méditerranée,7894,1195,1634,517,702
CA Intercommunale de la Réunion Est (Cirest),18796,1504,1758,535,1885
CA Intercommunale du Nord de la Réunion (Cinor),27194,2783,3840,857,2660
CA Lannion-Trégor Communauté,4673,1225,1906,538,834
CA Limoges Métropole,10675,2470,4467,1154,1206
CA Lisieux Normandie,3479,991,1520,324,348
CA Loire Forez,4086,1140,2436,430,702
CA Lorient Agglomération,10624,2673,5233,1340,1104
CA Luberon Monts de Vaucluse,4341,815,1437,216,377
CA Marne et Gondoire,4353,800,1585,289,447
CA Maubeuge Val de Sambre,12156,1504,2894,861,1029
CA Mauges Communauté,3380,1375,3583,560,823
CA Melun Val de Seine,7571,1419,2793,550,550
CA Metz Métropole,14131,2725,4736,1092,1448
CA Mont de Marsan Agglomération,2613,615,1311,288,397
CA Mont-Saint-Michel-Normandie,3199,864,1588,282,223
"CA Montargoise et Rives du Loing (A,M,E,)",4615,745,1625,366,331
CA Montluçon Communauté,3795,779,1468,314,316
CA Montélimar Agglomération,4312,890,1673,351,390
CA Morlaix Communauté,3176,796,1535,432,451
CA Moulins Communauté,3321,727,1340,409,414
CA Mulhouse Alsace Agglomération,18321,3115,6103,1326,1288
CA Mâconnais Beaujolais Agglomération,3695,1014,2266,478,323
CA Paris - Vallée de la Marne,11567,2030,3875,837,889
CA Pau Béarn Pyrénées,8528,2364,3805,994,972
CA Pays Foix-Varilhes,1904,419,632,188,336
CA Pays de Montbéliard Agglomération,7357,1406,4045,592,838
CA Plaine Vallée,8976,1469,2775,624,1026
CA Pornic Agglo Pays de Retz,2539,663,1411,242,311
"CA Porte de l'Isère (C,A,P,I)",5790,1352,3102,626,700
CA Portes de France-Thionville,4347,712,1466,334,380
CA Privas Centre Ardèche,2395,521,986,219,388
CA Provence-Alpes-Agglomération,3149,586,1042,276,238
CA Quimper Bretagne Occidentale,5129,1267,2595,581,736
CA Rambouillet Territoires,2554,529,946,165,328
CA Roannais Agglomération,5223,1201,2368,620,797
CA Rochefort Océan,3708,1020,1728,341,480
CA Rodez Agglomération,2148,576,1147,342,305
CA Roissy Pays de France,23493,3528,6955,1257,1339
CA Royan Atlantique,4970,1096,1639,331,434
CA Saint Germain Boucles de Seine,14219,2543,4285,753,1346
CA Saint-Brieuc Armor Agglomération,7830,1885,3732,869,813
CA Saint-Louis Agglomération,4069,691,1039,163,207
CA Saint-Lô Agglo,2919,859,1723,302,342
CA Sarreguemines Confluences,3569,748,1279,298,472
CA Saumur Val de Loire,5724,1454,3058,468,661
CA Seine Eure,3956,899,2148,430,375
CA Seine Normandie Agglomération,4501,1009,1984,366,461
CA Sud Sainte Baume,3275,749,941,266,589
CA Tarbes-Lourdes-Pyrénées,9013,1675,2689,784,967
CA Terre de Provence,3698,714,1284,271,434
CA Territoire de la Côte Ouest (Tco),34202,3461,4559,929,2860
CA Territoires Vendômois,2392,659,1321,255,285
CA Thonon Agglomération,4365,762,1359,267,417
CA Toulon Provence Méditerranée,26179,5295,7988,2389,3162
CA Troyes Champagne Métropole,12469,2228,3914,877,1352
CA Tulle Agglo,1820,473,831,209,283
CA Val Parisis,13185,2246,4369,882,1255
CA Val d'Europe Agglomération,1389,228,535,181,156
CA Val d'Yerres Val de Seine,8074,1535,2806,548,766
CA Val de Garonne Agglomération,3363,811,1359,317,454
CA Valence Romans Agglo,13471,3001,5797,1334,1319
CA Valenciennes Métropole,15211,2209,4692,961,1536
CA Var Esterel Méditerranée (Cavem),8230,1286,2068,560,841
CA Ventoux-Comtat-Venaissin (Cove),5198,944,1820,390,560
"CA Versailles Grand Parc (C,A,V,G,P,)",8947,1878,2702,531,1030
CA Vichy Communauté,4660,1046,1867,425,500
CA Viennagglo,3424,729,1444,318,360
CA Villefranche Beaujolais Saône,3981,825,1714,354,548
CA Vitré Communauté,2590,859,2265,423,517
CA d'Agen,5020,1336,2308,488,772
CA d'Arles-Crau-Camargue-Montagnette,7030,1308,2204,523,707
CA d'Epinal,6316,1199,2258,701,847
CA d'hénin-Carvin,8639,1590,3835,468,944
CA de Bar-Le-Duc - Sud Meuse,1758,403,678,252,248
CA de Bastia,2792,332,440,312,280
CA de Blois ''agglopolys'',5475,1409,2708,569,639
"CA de Béthune-Bruay, Artois-Lys Romane",16117,3108,6462,1291,1970
CA de Béziers-Méditerranée,10911,1685,2577,901,1053
CA de Cambrai,5783,1101,2140,484,665
CA de Castres Mazamet,4623,1057,1875,408,757
CA de Cergy-Pontoise,12779,2125,4333,844,979
"CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles",1857,455,938,204,249
CA de Châlons-En-Champagne,3910,1009,1786,391,477
CA de Forbach Porte de France,5484,929,1544,419,468
CA de Haguenau,4135,897,2060,346,338
CA de Laval,3731,1083,2613,454,617
CA de Lens - Liévin,16550,2912,6556,1022,1837
CA de Longwy,3348,490,1147,182,234
CA de Nevers,2906,659,1358,357,287
CA de Nîmes Métropole,20277,3446,5452,1745,1872
CA de Saint Quentin en Yvelines,10767,1924,3886,767,839
CA de Saint-Dizier Der et Blaise,3499,742,1375,195,452
CA de Saint-Dié-Des-Vosges,4699,993,1942,372,589
CA de Saintes,3046,923,1458,344,329
CA de Sophia Antipolis,11641,1987,2864,724,1630
CA de Vesoul,1741,334,683,225,152
CA de l'Albigeois (C2a),4655,908,1674,612,709
CA de l'Auxerrois,3224,707,1532,285,281
CA de l'Espace Sud de la Martinique,13244,1398,2139,887,640
CA de l'Ouest Rhodanien,1991,565,1053,197,315
CA de la Baie de Somme,3269,699,1117,298,350
CA de la Porte du Hainaut,12083,1997,4339,761,1223
CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),3722,945,1559,301,450
CA de la Provence Verte,5896,1187,1974,449,908
CA de la Riviera Française,4546,716,1067,246,436
CA de la Rochelle,9567,2562,4219,913,938
CA de la Région Dieppoise,3161,695,1287,349,257
CA de la Région Nazairienne et de l'Estuaire (Carene),6528,1679,4062,658,711
CA de la Région de Château-Thierry,3312,806,1349,207,521
CA de la Région de Compiègne et de la Basse Automne,4521,1047,1967,355,410
CA des Deux Baies en Montreuillois,3952,760,1176,422,542
CA du Bassin d'Aurillac,1906,473,1053,249,302
CA du Bassin de Bourg-En-Bresse,5302,1372,2873,699,657
CA du Bassin de Brive,5074,1366,2600,532,773
CA du Bassin de Thau,9695,1901,2771,756,1060
CA du Beauvaisis,6508,1174,2459,584,578
CA du Bocage Bressuirais,2494,814,2321,298,300
CA du Boulonnais,8096,1713,3035,826,1118
CA du Calaisis,8299,1311,2504,748,900
CA du Centre Littoral,12903,754,1182,423,819
CA du Centre de la Martinique,17361,1762,2549,1230,667
CA du Cotentin,5570,1516,2801,530,560
"CA du Douaisis [c,A,D,]",11039,2189,4721,696,1086
CA du Gard Rhodanien,4586,906,1653,417,495
CA du Grand Angoulême,8344,1946,3771,745,742
CA du Grand Annecy,7109,1497,3025,643,693
