code_epci,lib_epci,categorie_a,categorie_b,categorie_c,categorie_d,categorie_e
243300316.0,Bordeaux Métropole,47950,12071,20297,4083,5891
242900314.0,Brest Métropole,11339,2514,4857,1474,1005
200066918.0,CA Alès Agglomération,10142,1693,2715,810,1108
248000531.0,CA Amiens Métropole,13009,2466,4739,1193,923
200011773.0,CA Annemasse-les Voirons-Agglomération,6423,843,1622,335,282
200072015.0,CA Annonay Rhône Agglo,2473,576,1345,216,195
200041630.0,CA Ardenne Métropole,8100,1498,2958,616,567
200068997.0,CA Arlysère,2111,653,998,208,260
243300563.0,CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),4085,890,1407,194,594
200006682.0,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1951,585,1136,210,227
200070647.0,CA Bergeracoise,3497,900,1339,417,487
241800507.0,CA Bourges Plus,5544,1104,2102,481,463
200039915.0,CA Cannes Pays de Lérins,12858,2445,3093,757,1034
200018653.0,CA Cap Excellence,14388,1042,1628,593,463
200035715.0,CA Carcassonne Agglo,7520,1458,2553,778,815
200010700.0,CA Caux Seine Agglo,4084,926,2104,329,428
200069110.0,CA Chambéry Métropole-Coeur des Bauges,5973,1528,2750,678,803
200033181.0,CA Chartres Métropole,7018,1516,3143,674,626
243600327.0,CA Châteauroux Métropole,4356,959,1941,440,335
200071785.0,CA Chauny Tergnier la Fère,3981,640,1273,362,298
249740077.0,CA Civis (Communauté Intercommunale des Villes Solidaires),31943,3107,3584,1024,2623
200067635.0,CA Clisson Sèvre et Maine Agglo,1647,640,1456,221,294
200057859.0,CA Coeur d'Essonne Agglomération,8491,1524,3394,634,816
246800726.0,CA Colmar Agglomération,5598,1190,2442,500,409
200056232.0,CA Communauté Paris-Saclay,12092,2290,4549,817,1423
242900769.0,CA Concarneau Cornouaille Agglomération,2456,615,1118,268,333
200077055.0,CA Coulommiers Pays de Brie,3539,642,1211,259,360
200068047.0,CA Creil Sud Oise,6853,1121,2266,410,397
200035459.0,CA d'Agen,4847,1321,2483,525,696
241300417.0,CA d'Arles-Crau-Camargue-Montagnette,6913,1269,2428,486,603
200033025.0,CA de Bar-le-Duc - Sud Meuse,1714,358,768,198,235
242000354.0,CA de Bastia,2582,344,491,274,287
200072460.0,"CA de Béthune-Bruay, Artois-Lys Romane",15801,3182,6673,1292,1350
243400769.0,CA de Béziers-Méditerranée,10965,1754,2710,981,892
200030385.0,CA de Blois Agglopolys,5248,1298,2786,590,579
200068500.0,CA de Cambrai,5575,1027,2321,449,479
248100430.0,CA de Castres Mazamet,4678,1044,1872,436,694
249500109.0,CA de Cergy-Pontoise,12778,2041,4539,791,980
200066876.0,CA de Châlons-en-Champagne,3960,1040,1746,432,418
200068658.0,"CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles",1942,428,821,223,269
245700372.0,CA de Forbach Porte de France,5293,820,1531,392,434
200067874.0,CA de Haguenau,4121,848,2099,316,272
200070993.0,CA de la Baie de Somme,3206,629,1064,253,289
200042190.0,CA de la Porte du Hainaut,11943,1963,4243,894,1129
244400610.0,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),3646,959,1526,304,457
200068104.0,CA de la Provence Verte,5756,1222,2104,518,814
200072031.0,CA de la Région de Château-Thierry,3247,730,1443,274,463
200067965.0,CA de la Région de Compiègne et de la Basse Automne,4467,1087,1939,403,375
247600786.0,CA de la Région Dieppoise,3211,683,1171,306,203
244400644.0,CA de la Région Nazairienne et de l'Estuaire (Carene),6811,1752,3934,585,636
240600551.0,CA de la Riviera Française,4324,714,1150,249,393
241700434.0,CA de la Rochelle,9519,2515,4308,1004,839
248100737.0,CA de l'Albigeois (C2a),4632,989,1764,531,607
200067114.0,CA de l'Auxerrois,3071,758,1458,357,261
245300330.0,CA de Laval,3838,1089,2530,546,575
246200364.0,CA de Lens - Liévin,15607,2995,6804,1284,1312
249720053.0,CA de l'Espace Sud de la Martinique,12798,1452,2357,860,525
245400262.0,CA de Longwy,3245,446,1069,236,177
200040566.0,CA de l'Ouest Rhodanien,2016,514,1089,256,255
245804406.0,CA de Nevers,2814,701,1210,358,216
243000643.0,CA de Nîmes Métropole,19701,3493,5600,1931,1543
200071066.0,CA de Saint-Dié-Des-Vosges,4658,931,1823,349,415
200068666.0,CA de Saint-Dizier Der et Blaise,3175,746,1367,293,355
200036473.0,CA de Saintes,3035,810,1464,311,290
200058782.0,CA de Saint-Quentin-en-Yvelines,10781,1970,3854,802,771
240600585.0,CA de Sophia Antipolis,11592,1927,2898,651,1668
247000011.0,CA de Vesoul,1693,337,678,217,100
200068757.0,CA d'Épinal,6254,1172,2260,629,728
200069029.0,CA des Deux Baies en Montreuillois,3777,826,1270,411,457
246200299.0,CA d'Hénin-Carvin,8376,1651,3971,515,760
200068989.0,CA Dinan Agglomération,4310,1174,2586,480,658
248300493.0,CA Dracénoise,6977,1195,2019,560,954
241500230.0,CA du Bassin d'Aurillac,1882,498,1037,235,212
200071751.0,CA du Bassin de Bourg-en-Bresse,5362,1400,2820,687,576
200043172.0,CA du Bassin de Brive,4999,1253,2612,563,748
200066355.0,CA du Bassin de Thau,9481,1892,2912,724,914
243301504.0,CA du Bassin Nord,3373,917,1524,266,566
200067999.0,CA du Beauvaisis,6375,1261,2646,592,507
200040244.0,CA du Bocage Bressuirais,2627,761,2105,327,310
246200729.0,CA du Boulonnais,7878,1741,3088,797,797
246201149.0,CA du Calaisis,7685,1481,2600,805,706
249720061.0,CA du Centre de la Martinique,16610,1839,2791,1226,674
249730045.0,CA du Centre Littoral,12465,835,1320,638,581
200071678.0,CA du Choletais,4248,1185,3122,591,528
200067205.0,CA du Cotentin,5854,1538,2972,557,484
200044618.0,CA du Douaisis (C.A.D.),10938,2179,4829,663,901
200034692.0,CA du Gard Rhodanien,4730,908,1725,406,440
200071827.0,CA du Grand Angoulême,8204,1997,3814,830,570
200066793.0,CA du Grand Annecy,7855,1725,3492,698,862
248400251.0,CA du Grand Avignon (Coga),15119,2748,4907,1289,1209
242500361.0,CA du Grand Besançon,9822,2147,4127,1217,601
200023737.0,CA du Grand Cahors,2751,532,949,298,290
200070514.0,CA du Grand Cognac,3277,1056,1975,307,233
244000675.0,CA du Grand Dax,3318,915,1521,317,485
200010650.0,CA du Grand Dole,2317,631,1141,314,183
200034825.0,CA du Grand Guéret,1354,302,584,160,138
248900334.0,CA du Grand Sénonais,3243,708,1509,351,167
200049187.0,CA du Grand Verdun,1592,278,520,229,212
200023307.0,CA du Grand Villeneuvois,2910,563,1286,334,333
200070092.0,CA du Libournais,5954,1259,2353,435,546
200041317.0,CA du Niortais,5249,1335,2773,762,373
249710062.0,CA du Nord Basse-Terre,9714,706,1163,399,344
200044691.0,CA du Nord Grande Terre,8189,589,1121,318,250
242010056.0,CA du Pays Ajaccien,4177,449,744,425,500
200067106.0,CA du Pays Basque,15641,4298,6668,1426,2553
200040277.0,CA du Pays de Dreux,7303,1269,2702,607,602
200072346.0,CA du Pays de Fontainebleau,2761,578,933,212,267
200039857.0,CA du Pays de Grasse,6033,1144,1733,391,738
200043495.0,CA du Pays de Laon,3246,543,1027,372,279
243400470.0,CA du Pays de l'Or,3726,722,1246,260,309
200072130.0,CA du Pays de Meaux,5796,889,2016,368,425
243500782.0,CA du Pays de Saint-Malo - Saint-Malo Agglomération,4047,1147,1942,419,516
200069037.0,CA du Pays de Saint-Omer,5891,1313,2426,583,610
200041788.0,CA du Pays Nord Martinique,11257,1223,1791,804,637
243800984.0,CA du Pays Voironnais,3634,950,1792,376,441
200073419.0,CA du Puy-en-Velay,3612,891,1826,543,359
200071892.0,CA du Saint-Quentinois,6416,1192,2028,451,435
243100633.0,CA du Sicoval,3341,764,1708,287,444
240200477.0,CA du Soissonnais,3939,700,1383,348,316
249740085.0,CA du Sud,23072,2089,2454,698,1920
245701222.0,CA du Val de Fensch,4462,679,1578,305,459
200034700.0,CA Durance-Lubéron-Verdon Agglomération,4281,983,1437,329,389
200071116.0,CA Ecla (Espace Communautaire Lons Agglomération),1496,387,718,197,166
200067684.0,"CA Épernay, Coteaux et Plaine de Champagne",2247,715,1193,191,260
200017846.0,CA Étampois Sud-Essonne,2556,472,929,176,297
200071454.0,CA Evreux Portes de Normandie,6600,1274,2929,613,658
200069821.0,CA Fécamp Caux Littoral Agglomération,2316,516,911,201,218
200035814.0,CA Flers Agglo,2617,678,1318,312,226
200072452.0,CA Fougères Agglomération,2042,520,1274,320,220
200066124.0,CA Gaillac-Graulhet,4230,967,1888,359,588
200067825.0,CA Gap-Tallard-Durance,2496,673,1068,362,241
200067932.0,CA Golfe du Morbihan - Vannes Agglomération,8055,2018,3846,860,846
200066926.0,CA Grand Auch Coeur de Gascogne,1645,451,766,193,323
200069052.0,CA Grand Belfort,5777,1067,2370,599,392
248600413.0,CA Grand Châtellerault,3747,1135,2198,407,266
200068674.0,CA Grand Lac - CA du Lac du Bourget,3128,843,1502,248,499
248200099.0,CA Grand Montauban,5253,1056,2067,428,511
200059228.0,CA Grand Paris Sud Seine Essonne Sénart,19438,3473,7250,1327,1451
249710070.0,CA Grand Sud Caraïbe,11668,815,1174,407,309
200067981.0,CA Guingamp-Paimpol Armor-Argoat Agglomération,3684,894,1702,364,385
200042935.0,CA Haut - Bugey Agglomération,2797,701,1722,297,272
247600596.0,CA Havraise (Co.D.A.H.),16940,3280,6410,1352,887
243400819.0,CA Hérault-Méditerranée,7928,1127,1853,498,654
200073096.0,CA Hermitage-Tournonais-Herbasse-Pays de Saint-Félicien,3038,732,1464,276,311
249740093.0,CA Intercommunale de la Réunion Est (Cirest),19163,1403,1863,663,1232
249740119.0,CA Intercommunale du Nord de la Réunion (Cinor),29169,2838,4044,1052,1338
200041507.0,CA La Riviera du Levant,9054,709,1184,333,282
248500589.0,CA La Roche-sur-Yon Agglomération,4809,1211,2715,582,605
200065928.0,CA Lannion-Trégor Communauté,4637,1197,1961,550,431
247100589.0,CA Le Grand Chalon,5525,1324,3027,539,361
241100593.0,CA Le Grand Narbonne,10395,1783,2910,880,1074
200040392.0,CA Le Grand Périgueux,5527,1405,2087,479,751
200068641.0,CA Le Muretain Agglo,5740,1386,3185,535,924
200071165.0,CA Les Sables d'Olonne Agglomération,2710,675,1150,226,361
248719312.0,CA Limoges Métropole,10495,2408,4541,1303,1059
200069532.0,CA Lisieux Normandie,3485,940,1692,417,323
200065886.0,CA Loire Forez Agglomération Lfa,3962,1168,2517,442,598
200042174.0,CA Lorient Agglomération,10296,2770,5288,1377,1018
200040442.0,CA Luberon Monts de Vaucluse,4267,871,1469,262,391
200070308.0,CA Mâconnais Beaujolais Agglomération,3760,966,2360,406,205
247700594.0,CA Marne et Gondoire,4619,795,1783,314,446
200043396.0,CA Maubeuge Val de Sambre,11686,1635,2889,935,882
200060010.0,CA Mauges Communauté,3463,1322,3417,557,801
247700057.0,CA Melun Val de Seine,7617,1446,2961,562,508
244500203.0,CA Montargoise et Rives du Loing (A.M.E.),4723,770,1651,326,234
244000808.0,CA Mont-de-Marsan Agglomération,2510,570,1347,309,401
200040459.0,CA Montélimar Agglomération,4304,854,1835,356,330
200071082.0,CA Montluçon Communauté,3679,725,1469,351,272
200069425.0,CA Mont-Saint-Michel-Normandie,3121,830,1674,360,197
242900835.0,CA Morlaix Communauté,3247,764,1527,363,405
200071140.0,CA Moulins Communauté,3282,758,1406,414,308
200066009.0,CA Mulhouse Alsace Agglomération,18295,3120,6153,1428,1121
200057958.0,CA Paris - Vallée de la Marne,11426,1964,3931,738,886
200067254.0,CA Pau Béarn Pyrénées,8304,2250,3900,1034,746
200065647.0,CA Pays de Montbéliard Agglomération,7791,1473,3824,787,717
200070407.0,CA Pays d'Issoire,2766,719,1547,231,277
200067791.0,CA Pays Foix-Varilhes,1903,393,628,163,310
200056380.0,CA Plaine Vallée,8767,1442,2796,559,928
200067346.0,CA Pornic Agglo Pays de Retz,2694,727,1423,191,272
