Code EPCI,Libellé EPCI,Catégorie A,Catégorie B,Catégorie C,Catégorie D,Catégorie E
200000172.0,CC Faucigny-Glières,1162,244,636,97,145
200000438.0,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1233,341,1140,175,172
200000545.0,CC des Portes de Romilly-sur-Seine,1591,246,430,118,109
200000628.0,CC Rhône Lez Provence,1662,352,742,133,202
200000800.0,CC Coeur de Sologne,378,108,236,35,57
200000925.0,CC de la Plaine Dijonnaise,634,195,512,82,58
200000933.0,CC Sauldre et Sologne,598,137,305,61,55
200004802.0,CC du Pays de Fayence,1464,303,405,95,294
200005932.0,CC des Portes de Sologne,526,118,297,53,49
200005957.0,CC de la Région de Rambervillers,687,125,283,58,71
200006682.0,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1854,530,1117,201,255
200006716.0,CC du Nogentais,836,152,333,73,64
200006930.0,CC du Haut-Allier,161,47,81,10,23
200006971.0,CC du Perche,903,242,432,115,85
200007052.0,CC de la Marche Berrichonne,173,45,71,14,16
200007177.0,CC Pays de Nérondes,239,38,68,17,21
200010650.0,CA du Grand Dole,2210,536,1130,396,138
200010700.0,CA Caux Seine Agglo,3870,886,2112,370,380
200011773.0,CA Annemasse-les Voirons-Agglomération,6154,894,1542,393,382
200011781.0,CC Portes du Berry entre Loire et Val d'Aubois,435,92,188,31,38
200012060.0,CC Petite Montagne,226,58,127,13,31
200013050.0,CC Sauer-Pechelbronn,581,132,273,60,50
200015162.0,CC de l'Oriente,334,27,70,18,38
200016905.0,CC du Pays de Lamastre,328,92,140,7,38
200017341.0,CC Lodévois et Larzac,1164,244,372,96,103
200017846.0,CA Étampois Sud-Essonne (CCESE),2494,481,886,186,273
200018083.0,CC de Desvres-Samer,897,259,498,114,137
200018166.0,CC Le Grésivaudan,3230,912,1787,298,442
200018406.0,CC du Romorantinais et du Monestois,1484,420,867,138,182
200018521.0,CC du Val de Bouzanne,224,62,102,15,17
200018653.0,CA Cap Excellence,13228,1053,1644,908,289
200022986.0,CC du Grand Pic Saint-Loup,2009,538,837,173,244
200023075.0,CC du Pays de Maîche,805,124,311,59,50
200023125.0,CC Les Portes Briardes entre Villes et Forêts,1691,263,658,142,224
200023240.0,CC Pays de Nemours,1571,287,561,99,159
200023299.0,CC Coeur de Tarentaise,412,85,214,18,40
200023307.0,CA du Grand Villeneuvois,2834,584,1252,336,335
200023372.0,CC de la Vallée de Chamonix-Mont-Blanc,468,199,324,38,69
200023414.0,Métropole Rouen Normandie,30397,6279,12754,2590,2467
200023620.0,CC de la Gascogne Toulousaine,585,177,432,73,159
200023737.0,CA du Grand Cahors,2524,544,991,295,296
200023778.0,CC du Pays de Saint-Gilles-Croix-de-Vie,2499,619,1310,251,406
200023794.0,CC de Blaye,1287,299,537,106,109
200023919.0,CC Gâtinais Val de Loing,953,184,332,53,85
200026573.0,CC Haut-Jura Saint-Claude,811,190,486,106,79
200027027.0,CC Arc Sud Bretagne,1092,307,612,123,129
200027076.0,CC Arnon Boischaut Cher,352,74,159,25,37
200027100.0,CC Méditerranée Porte des Maures,2930,498,820,173,410
200027183.0,CU Perpignan Méditerranée Métropole,21808,3592,6562,1873,1700
200027217.0,CC Sarlat-Périgord Noir,1103,195,360,124,119
200027308.0,CC d'Auberive Vingeanne et Montsaugeonnais,261,109,164,30,55
200027548.0,CC des Savanes,2947,243,338,176,145
200029734.0,CC des 4B Sud Charente,793,255,523,83,99
200029999.0,CC Rives de l'Ain - Pays du Cerdon,605,156,304,60,66
200030195.0,Métropole Nice Côte d'Azur,35085,6766,9881,2875,3640
200030385.0,CA de Blois Agglopolys,4932,1229,2780,547,519
200030435.0,CC d'Aire-sur-l'Adour,520,173,228,53,104
200030526.0,CC du Ried de Marckolsheim,734,160,372,57,49
200030633.0,CA du Caudrésis et du Catésis,4883,808,1661,545,321
200030658.0,CC du Trièves,363,147,205,33,50
200030674.0,CA Val de Garonne Agglomération,3142,737,1411,378,336
200032514.0,CC Berry-Loire-Vauvise,256,60,113,14,34
200033025.0,CA de Bar-le-Duc - Sud Meuse,1473,306,780,221,223
200033090.0,CC Plaines et Monts de France,827,111,306,65,113
200033116.0,CC Cluses-Arve et Montagnes,2593,532,1429,233,292
200033173.0,CC de la Haute Vallée de Chevreuse,688,140,217,68,98
200033181.0,CA Chartres Métropole,6688,1444,3232,647,617
200033207.0,CC Vierzon-Sologne-Berry,2473,392,783,186,136
200033298.0,CC des Coëvrons,911,245,565,92,121
200033579.0,CU d'Arras,5662,1175,2433,754,566
200033827.0,CC de Fium'orbu Castellu,853,90,100,76,70
200033868.0,CC des Ballons des Hautes-Vosges,769,165,324,61,114
200034023.0,CC Tarn-Agout,1199,321,695,113,182
200034031.0,CC des Monts d'Alban et du Villefranchois,233,48,106,27,49
200034049.0,CC Centre Tarn,427,117,224,64,99
200034056.0,CC du Lautrécois et du Pays d'Agout,580,171,346,83,102
200034064.0,CC du Cordais et du Causse (4 C),256,59,82,25,51
200034098.0,CC des Montagnes du Giffre,363,202,358,33,79
200034130.0,CC Gally Mauldre,676,128,191,42,111
200034197.0,CC de Montaigne Montravel et Gurson,623,147,280,41,93
200034205.0,CC de la Costa Verde,602,58,123,41,72
200034270.0,CC du Pays de Barr,892,192,495,102,92
200034379.0,CC Pays d'Uzès,1581,343,467,87,214
200034411.0,CC du Piémont Cévenol,1378,370,477,111,165
200034601.0,CC Causses Aigoual Cévennes,403,99,88,16,24
200034635.0,CC du Kochersberg,600,165,386,70,58
200034692.0,CA du Gard Rhodanien,4503,878,1812,335,463
200034700.0,CA Durance-Lubéron-Verdon Agglomération,4040,898,1495,349,396
200034718.0,"CC de Vitry, Champagne et Der",1150,325,602,140,166
200034726.0,CC Bastides de Lomagne,349,114,205,45,79
200034825.0,CA du Grand Guéret,1267,265,572,156,135
200034833.0,CC des Bastides Dordogne-Périgord,823,189,319,69,139
200034874.0,CC Côtes de Meuse Woëvre,237,55,112,17,40
200034882.0,CC Pays du Mont-Blanc,1261,467,925,122,191
200034957.0,CC du Frontonnais,1018,239,670,98,203
200035087.0,CA Terre de Provence,3522,669,1348,297,430
200035103.0,CC de la Vallée de la Haute-Sarthe,258,83,123,34,30
200035111.0,CC des Sources de l'Orne,442,91,212,56,38
200035129.0,CC de Cèze Cévennes,1610,236,392,66,155
200035137.0,CC Marche Occitane - Val d'Anglin,250,71,93,26,18
200035202.0,CC Charlieu-Belmont,817,219,530,71,154
200035319.0,CA Var Estérel Méditerranée (Cavem),7750,1258,2150,536,1041
200035327.0,CC Cazals-Salviac,230,60,93,20,28
200035442.0,CC du Sud-Artois,1101,215,709,113,190
200035459.0,CA d'Agen,4792,1219,2476,672,669
200035533.0,CC du Grand Saint-Émilionnais,776,162,308,60,87
200035541.0,CC des Landes d'Armagnac,491,96,228,31,68
200035632.0,CC Armagnac Adour,238,80,148,18,55
200035665.0,CA Seine Eure,3896,888,2139,445,325
200035707.0,CC Piège Lauragais Malepère,773,190,295,85,120
200035715.0,CA Carcassonne Agglo,6976,1443,2504,719,836
200035723.0,CC Ventoux Sud,610,121,174,25,49
200035731.0,CA Roannais Agglomération,4983,1106,2414,450,626
200035756.0,CC Astarac Arros en Gascogne,223,64,126,19,62
200035764.0,CC de la Beauce Loirétaine,456,113,427,48,57
200035772.0,CC du Pays du Saintois,405,110,240,49,54
200035814.0,CA Flers Agglo,2517,671,1291,331,240
200035848.0,CC du Châtillonnais en Berry,222,52,83,13,12
200035855.0,CC Castelnaudary Lauragais Audois,1401,347,581,191,163
200035863.0,"CC Région Lézignanaise, Corbières et Minervois",1914,411,777,138,223
200035970.0,CC Vexin Centre,862,162,311,75,138
200036069.0,CC du Pays de Mortagne-au-Perche,471,149,226,56,45
200036077.0,CC du Golfe de Saint-Tropez,6200,760,932,209,413
200036135.0,CC Coeur de France,960,196,355,90,89
200036150.0,CC des Hauts du Val de Saône,353,80,127,37,19
200036465.0,CC de Thann-Cernay,1758,407,791,181,132
200036473.0,CA de Saintes,2866,783,1450,313,298
200036499.0,CC de Marana-Golo,1253,149,270,161,201
200036523.0,CC des Bastides en Haut-Agenais Périgord,670,195,359,66,114
200036549.0,CC Val de Gray,854,212,526,129,101
200036572.0,CC Porte d'Aquitaine en Pays de Serres,209,66,112,21,26
200037059.0,CC de la Haute-Somme,1710,361,848,125,109
200037133.0,CC du Provinois,1745,298,594,250,125
200038958.0,CC de la Pieve de l'Ornano,693,83,124,46,68
200038990.0,CC de Saint-Méen Montauban,839,199,680,127,151
200039022.0,CA Vitré Communauté,2707,732,2193,427,423
200039055.0,CC Ouche et Montagne,334,121,194,32,42
200039063.0,"CC Forêts, Seine et Suzon",173,53,97,21,23
200039204.0,CC de Lacq-Orthez,2020,634,1226,253,360
200039519.0,CC du Quercy Blanc,362,91,143,32,47
200039642.0,CC Le Tonnerrois en Bourgogne,732,145,259,79,53
200039709.0,CC du Serein,217,53,98,26,19
200039758.0,"CC Avallon, Vézelay, Morvan",804,188,294,84,72
200039808.0,CC des Gorges de l'Ardèche,1549,260,411,43,66
200039824.0,CC Ardèche des Sources et Volcans,634,146,258,35,38
200039832.0,CC Pays des Vans en Cévennes,742,153,186,32,36
200039857.0,CA du Pays de Grasse,5719,1149,1735,441,827
200039865.0,Metz Métropole,12773,2509,4829,1516,1094
200039907.0,CC du Sud Messin,462,103,267,72,82
200039915.0,CA Cannes Pays de Lérins,12275,2428,3158,802,1116
200039931.0,CC Alpes d'Azur,407,72,140,17,43
200039949.0,CC Rives de Moselle,2395,468,1171,240,256
200040038.0,CC Saône Doubs Bresse,382,115,310,55,60
200040095.0,CC Isle Vern Salembre en Périgord,796,214,387,92,120
200040111.0,CC Coeur de Chartreuse,564,163,302,51,93
200040137.0,CC des Lacs de Champagne,409,87,169,32,24
200040178.0,CC de l'Outre-Forêt,551,140,284,53,35
200040202.0,CC Provence Verdon,1191,322,466,111,179
200040210.0,CC Lacs et Gorges du Verdon,574,89,127,15,92
200040244.0,CA du Bocage Bressuirais,2548,754,2058,357,325
200040251.0,CC Bassée-Montois,1039,190,383,73,89
