lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_a
Bordeaux Métropole,3579,16226,5317,25122,3294,16167,5050,24511,10520,6620,10724,14103,2391,5027,248,49633
Brest Métropole,999,3759,1247,6005,867,3242,1238,5347,1689,1193,2415,4353,654,968,80,11352
CA Agglo Pays d'Issoire,196,695,385,1276,168,848,433,1449,s.s,261,592,1202,185,251,s.s,2725
CA Agglo du Pays de Dreux,561,2149,879,3589,460,2242,883,3585,488,639,1456,2961,612,989,29,7174
CA Agglomération du Choletais,371,1212,574,2157,316,1296,652,2264,404,468,864,1718,311,631,25,4421
CA Alès Agglomération,756,3012,1571,5339,562,2834,1475,4871,705,926,2065,4677,734,1084,19,10210
CA Amiens Métropole,1091,4367,1530,6988,972,3667,1278,5917,1536,1090,2650,4501,1217,1849,62,12905
CA Annemasse- les Voirons-Agglomération,286,2332,773,3391,307,2053,655,3015,833,689,1374,2352,333,770,55,6406
CA Annonay Rhône Agglo,194,774,333,1301,148,701,321,1170,s.s,240,541,1013,157,296,s.s,2471
CA Ardenne Métropole,599,2607,1299,4505,560,2176,1084,3820,422,602,1555,3964,712,1045,25,8325
CA Arlysère,173,639,320,1132,151,599,294,1044,221,217,406,904,128,284,16,2176
CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),274,1042,538,1854,221,1225,715,2161,s.s,553,938,1625,189,210,s.s,4015
"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",160,598,294,1052,145,660,297,1102,s.s,229,401,864,125,274,s.s,2154
CA Bergeracoise,297,1084,480,1861,206,1029,521,1756,s.s,346,728,1583,245,463,s.s,3617
CA Bourges Plus,452,1868,721,3041,368,1667,715,2750,528,561,1072,2436,386,794,14,5791
CA Cannes Pays de Lérins,778,3977,1976,6731,640,3819,1989,6448,1625,1654,3088,4327,890,1545,50,13179
CA Cap Excellence,742,3593,1875,6210,879,5178,2452,8509,851,1237,3171,5457,1465,2455,83,14719
CA Carcassonne Agglo,577,2156,1103,3836,508,2150,1132,3790,551,733,1688,3178,544,903,29,7626
CA Caux Vallée de Seine,424,1103,446,1973,407,1224,559,2190,200,333,835,2000,317,465,13,4163
CA Chambéry Métropole-Coeur des Bauges,409,1976,795,3180,376,1831,684,2891,999,701,1255,2187,290,614,25,6071
CA Chartres Métropole,497,2030,794,3321,417,1977,765,3159,631,684,1285,2561,509,779,31,6480
CA Chauny Tergnier la Fère,368,1258,563,2189,340,1131,472,1943,151,298,802,1984,334,549,14,4132
CA Châteauroux Métropole,336,1350,572,2258,297,1228,567,2092,278,367,816,1957,377,529,26,4350
CA Civis (Communauté Intercommunale des Villes Solidaires),1830,8797,4388,15015,2035,9562,4195,15792,1149,1652,5416,11953,3268,7336,33,30807
CA Clisson Sèvre et Maine Agglo,124,434,179,737,119,564,217,900,286,246,364,563,70,85,23,1637
CA Coeur d'Essonne Agglomération,663,2581,1068,4312,524,2855,901,4280,1239,1077,2008,2614,590,1006,58,8592
CA Colmar Agglomération,419,1875,797,3091,394,1630,701,2725,604,520,1043,2394,461,776,18,5816
