code_epci,lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_a
200000172.0,CC Faucigny-Glières,77,357.0,160,594.0,73,336.0,159,568.0,143,144,236.0,402.0,s.s,163,s.s,1162.0
200000438.0,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,127,305.0,136,568.0,107,408.0,150,665.0,117,190,316.0,500.0,66,44,",",1233.0
200000545.0,CC des Portes de Romilly-sur-Seine,117,446.0,234,797.0,106,491.0,197,794.0,84,101,286.0,735.0,s.s,272,s.s,1591.0
200000628.0,CC Rhône Lez Provence,120,460.0,229,809.0,108,481.0,264,853.0,97,172,363.0,698.0,s.s,224,s.s,1662.0
200000800.0,CC Coeur de Sologne,37,98.0,50,185.0,16,115.0,62,193.0,39,44,78.0,169.0,25,23,",",378.0
200000925.0,CC de la Plaine Dijonnaise,56,155.0,101,312.0,37,174.0,111,322.0,66,77,125.0,286.0,25,55,",",634.0
200000933.0,CC Sauldre et Sologne,47,172.0,97,316.0,32,149.0,101,282.0,41,66,117.0,240.0,52,82,",",598.0
200004802.0,CC du Pays de Fayence,115,389.0,221,725.0,95,386.0,258,739.0,206,225,383.0,487.0,83,s.s,s.s,1464.0
200005932.0,CC des Portes de Sologne,53,147.0,69,269.0,31,150.0,76,257.0,80,76,127.0,182.0,s.s,37,s.s,526.0
200005957.0,CC de la Région de Rambervillers,62,182.0,128,372.0,61,135.0,119,315.0,35,60,182.0,273.0,s.s,75,s.s,687.0
200006682.0,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",136,542.0,247,925.0,118,527.0,284,929.0,252,253,381.0,710.0,s.s,180,s.s,1854.0
200006716.0,CC du Nogentais,66,231.0,110,407.0,52,263.0,114,429.0,76,83,144.0,350.0,s.s,110,s.s,836.0
200006930.0,CC du Haut-Allier,16,50.0,16,82.0,8,44.0,27,79.0,25,16,38.0,59.0,14,9,",",161.0
200006971.0,CC du Perche,79,245.0,153,477.0,57,241.0,128,426.0,69,86,163.0,409.0,s.s,98,s.s,903.0
200007052.0,CC de la Marche Berrichonne,18,47.0,33,98.0,12,42.0,21,75.0,22,21,34.0,75.0,10,11,",",173.0
