lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_a
Bordeaux Métropole,3634,16280,5145.0,25059.0,3288,15523,4898.0,23709.0,10144,6344.0,10344.0,14373.0,2481,4854,228,48768.0
Brest Métropole,1075,3981,1337.0,6393.0,870,3429,1254.0,5553.0,1794,1263.0,2565.0,4613.0,712,971,28,11946.0
CA Agglo Pays d'Issoire,219,749,369.0,1337.0,213,851,429.0,1493.0,217,289.0,606.0,1273.0,182,250,13,2830.0
CA Agglo du Pays de Dreux,608,2284,888.0,3780.0,455,2200,856.0,3511.0,470,676.0,1471.0,3046.0,646,953,29,7291.0
CA Agglomération du Choletais,368,1260,543.0,2171.0,362,1280,600.0,2242.0,381,438.0,840.0,1780.0,356,601,17,4413.0
CA Alès Agglomération,744,3109,1517.0,5370.0,532,2788,1490.0,4810.0,659,920.0,1997.0,4723.0,788,1059,34,10180.0
CA Amiens Métropole,1145,4322,1445.0,6912.0,1034,3571,1229.0,5834.0,1486,1077.0,2590.0,4530.0,1250,1753,60,12746.0
CA Annemasse- les Voirons-Agglomération,282,2333,772.0,3387.0,267,1926,633.0,2826.0,818,633.0,1284.0,2331.0,368,756,23,6213.0
CA Annonay Rhône Agglo,235,794,333.0,1362.0,136,712,322.0,1170.0,186,267.0,521.0,1066.0,173,309,10,2532.0
CA Ardenne Métropole,700,2967,1378.0,5045.0,534,2210,1044.0,3788.0,423,654.0,1565.0,4228.0,745,1198,20,8833.0
CA Arlysère,218,768,339.0,1325.0,153,654,302.0,1109.0,217,231.0,470.0,1060.0,115,329,12,2434.0
CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),313,1114,570.0,1997.0,248,1204,678.0,2130.0,497,571.0,975.0,1675.0,205,197,7,4127.0
