lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_abc
Bordeaux Métropole,5356,26473,7792,39621,5547,28320,8488,42355,17580,11581,18125,23287,3604,7506,293,81976
Brest Métropole,1499,5987,1751,9237,1541,5923,2026,9490,3002,2245,4282,6894,903,1304,97,18727
CA Agglo Pays d'Issoire,337,1250,530,2117,348,1730,764,2842,448,572,1163,2142,s.s,350,s.s,4959
CA Agglo du Pays de Dreux,835,3258,1216,5309,776,3692,1447,5915,761,1094,2406,4653,911,1363,36,11224
CA Agglomération du Choletais,686,2361,887,3934,735,2916,1294,4945,831,1013,1956,3510,560,982,27,8879
CA Alès Agglomération,980,4197,1973,7150,834,4358,2134,7326,1080,1469,3066,6499,967,1374,21,14476
CA Amiens Métropole,1632,6734,2021,10387,1518,6023,2097,9638,2509,1855,4317,7057,1730,2486,71,20025
CA Annemasse- les Voirons-Agglomération,375,3198,1028,4601,424,2831,944,4199,1145,969,1895,3198,473,1056,64,8800
CA Annonay Rhône Agglo,340,1314,492,2146,304,1383,581,2268,396,500,1011,1817,s.s,436,s.s,4414
CA Ardenne Métropole,909,4125,1690,6724,892,3588,1636,6116,729,1087,2591,6062,962,1383,26,12840
CA Arlysère,269,1097,457,1823,261,1285,558,2104,391,429,788,1612,218,473,16,3927
CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),402,1545,734,2681,361,2033,1099,3493,733,859,1505,2502,s.s,306,s.s,6174
"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",269,1017,441,1727,293,1306,595,2194,401,448,808,1621,s.s,417,s.s,3921
CA Bergeracoise,403,1650,673,2726,366,1799,911,3076,407,606,1249,2506,s.s,679,s.s,5802
CA Bourges Plus,657,2718,949,4324,626,2785,1189,4600,858,948,1748,3690,540,1122,18,8924
CA Cannes Pays de Lérins,1030,5522,2603,9155,939,5631,2895,9465,2305,2311,4354,6176,1280,2135,59,18620
CA Cap Excellence,868,4170,2028,7066,1070,6318,2835,10223,1129,1605,3876,6301,1626,2663,89,17289
CA Carcassonne Agglo,797,3229,1486,5512,797,3586,1755,6138,864,1227,2714,4779,763,1268,35,11650
CA Caux Vallée de Seine,694,1955,621,3270,690,2312,932,3934,364,643,1591,3441,478,673,14,7204
CA Chambéry Métropole-Coeur des Bauges,644,3308,1165,5117,664,3360,1163,5187,1801,1285,2218,3620,443,907,30,10304
CA Chartres Métropole,787,3243,1126,5156,733,3555,1404,5692,1070,1225,2291,4261,790,1174,37,10848
CA Chauny Tergnier la Fère,508,1863,729,3100,493,1801,757,3051,240,500,1251,2974,457,713,16,6151
CA Châteauroux Métropole,579,2268,837,3684,514,2161,989,3664,491,702,1508,3269,566,782,30,7348
CA Civis (Communauté Intercommunale des Villes Solidaires),2158,10721,4918,17797,2417,11838,5019,19274,1590,2225,6882,14368,3724,8248,34,37071
CA Clisson Sèvre et Maine Agglo,264,927,334,1525,298,1357,552,2207,560,569,912,1343,151,168,29,3732
CA Coeur d'Essonne Agglomération,951,3977,1510,6438,808,4671,1521,7000,1921,1754,3217,4101,887,1495,63,13438
CA Colmar Agglomération,626,3106,1132,4864,645,2848,1148,4641,948,942,1839,3925,707,1124,20,9505
CA Communauté Paris-Saclay,1079,6032,2288,9399,936,6360,2238,9534,4243,2716,4024,4841,1001,2022,86,18933
CA Concarneau Cornouaille Agglomération,297,1244,543,2084,275,1346,642,2263,518,554,1073,1745,221,219,17,4347
CA Creil Sud Oise,719,3560,1157,5436,635,3266,941,4842,758,971,2319,3458,927,1809,36,10278
CA Dinan Agglomération,564,2292,950,3806,620,2679,1209,4508,835,956,1973,3695,420,418,17,8314
CA Dracénoise,753,2768,1256,4777,723,3149,1481,5353,803,1072,2233,4385,697,917,23,10130
CA Durance-Lubéron-Verdon Agglomération,467,1872,853,3192,435,2156,947,3538,665,729,1427,2800,431,665,13,6730
