code_epci,lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_a
243300316.0,Bordeaux Métropole,5090.0,25419.0,7872.0,38381.0,5443.0,27839.0,8655.0,41937.0,20475,12741.0,17667.0,19673.0,2922,6683,157,80318.0
242900314.0,Brest Métropole,1433.0,5914.0,1768.0,9115.0,1516.0,6007.0,2072.0,9595.0,3724,2652.0,4378.0,6071.0,742,1106,37,18710.0
200066918.0,CA Alès Agglomération,981.0,4131.0,1967.0,7079.0,845.0,4289.0,2337.0,7471.0,1378,1883.0,3445.0,5926.0,770,1136,12,14550.0
248000531.0,CA Amiens Métropole,1580.0,6731.0,2091.0,10402.0,1513.0,6117.0,2182.0,9812.0,3076,2257.0,4534.0,6820.0,1361,2129,37,20214.0
200011773.0,CA Annemasse-les Voirons-Agglomération,374.0,3149.0,1069.0,4592.0,400.0,2899.0,997.0,4296.0,1438,1191.0,1983.0,2844.0,421,992,19,8888.0
200072015.0,CA Annonay Rhône Agglo,329.0,1246.0,507.0,2082.0,304.0,1373.0,635.0,2312.0,490,637.0,1040.0,1657.0,175,386,9,4394.0
200041630.0,CA Ardenne Métropole,920.0,3980.0,1658.0,6558.0,832.0,3520.0,1646.0,5998.0,902,1360.0,2809.0,5595.0,743,1129,18,12556.0
200068997.0,CA Arlysère,271.0,1056.0,448.0,1775.0,235.0,1214.0,538.0,1987.0,458,483.0,828.0,1445.0,s.s,363,s.s,3762.0
243300563.0,CA Bassin d'Arcachon Sud-Pôle Atlantique (Cobas),429.0,1598.0,752.0,2779.0,411.0,2098.0,1094.0,3603.0,1027,1078.0,1608.0,2165.0,216,280,8,6382.0
200006682.0,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",247.0,927.0,408.0,1582.0,242.0,1238.0,610.0,2090.0,486,475.0,817.0,1396.0,162,326,10,3672.0
200070647.0,CA Bergeracoise,424.0,1557.0,699.0,2680.0,385.0,1751.0,920.0,3056.0,553,699.0,1361.0,2285.0,259,568,11,5736.0
241800507.0,CA Bourges Plus,616.0,2704.0,959.0,4279.0,579.0,2693.0,1199.0,4471.0,1033,1081.0,2014.0,3357.0,402,857,6,8750.0
200039915.0,CA Cannes Pays de Lérins,969.0,5254.0,2645.0,8868.0,984.0,5620.0,2924.0,9528.0,2860,2866.0,4411.0,5493.0,956,1793,17,18396.0
200018653.0,CA Cap Excellence,814.0,3983.0,2056.0,6853.0,1014.0,6183.0,3008.0,10205.0,1533,2107.0,3720.0,5808.0,1393,2486,11,17058.0
200035715.0,CA Carcassonne Agglo,697.0,3101.0,1537.0,5335.0,820.0,3564.0,1812.0,6196.0,1133,1558.0,2872.0,4258.0,582,1109,19,11531.0
200010700.0,CA Caux Seine Agglo,688.0,1905.0,592.0,3185.0,618.0,2366.0,945.0,3929.0,445,796.0,1776.0,3209.0,s.s,525,s.s,7114.0
200069110.0,CA Chambéry Métropole-Coeur des Bauges,624.0,3274.0,1189.0,5087.0,686.0,3266.0,1212.0,5164.0,2152,1472.0,2281.0,3110.0,405,805,26,10251.0
200033181.0,CA Chartres Métropole,812.0,3421.0,1275.0,5508.0,793.0,3796.0,1580.0,6169.0,1432,1629.0,2663.0,4219.0,643,1076,15,11677.0
243600327.0,CA Châteauroux Métropole,574.0,2145.0,822.0,3541.0,553.0,2151.0,1011.0,3715.0,616,848.0,1682.0,3015.0,431,658,6,7256.0
200071785.0,CA Chauny Tergnier la Fère,516.0,1698.0,702.0,2916.0,473.0,1735.0,770.0,2978.0,306,580.0,1386.0,2697.0,382,533,10,5894.0
249740077.0,CA Civis (Communauté Intercommunale des Villes Solidaires),2126.0,10910.0,5283.0,18319.0,2426.0,12352.0,5537.0,20315.0,2269,3182.0,7694.0,14464.0,3267,7742,16,38634.0
200067635.0,CA Clisson Sèvre et Maine Agglo,278.0,927.0,338.0,1543.0,291.0,1363.0,546.0,2200.0,672,685.0,970.0,1160.0,97,147,12,3743.0
200057859.0,CA Coeur d'Essonne Agglomération,902.0,3929.0,1539.0,6370.0,829.0,4583.0,1627.0,7039.0,2243,2046.0,3231.0,3884.0,671,1306,28,13409.0
246800726.0,CA Colmar Agglomération,599.0,2920.0,1126.0,4645.0,588.0,2802.0,1195.0,4585.0,1115,1122.0,1943.0,3593.0,528,917,12,9230.0
200056232.0,CA Communauté Paris-Saclay,986.0,5975.0,2322.0,9283.0,953.0,6292.0,2403.0,9648.0,4713,2959.0,4149.0,4485.0,807,1780,38,18931.0
242900769.0,CA Concarneau Cornouaille Agglomération,287.0,1156.0,497.0,1940.0,291.0,1304.0,654.0,2249.0,631,649.0,1100.0,1470.0,s.s,187,s.s,4189.0
200077055.0,CA Coulommiers Pays de Brie,404.0,1438.0,625.0,2467.0,407.0,1807.0,711.0,2925.0,587,673.0,1397.0,1978.0,304,446,7,5392.0
200068047.0,CA Creil Sud Oise,682.0,3514.0,1181.0,5377.0,636.0,3273.0,954.0,4863.0,970,1222.0,2402.0,3325.0,699,1607,15,10240.0
200035459.0,CA d'Agen,558.0,2465.0,973.0,3996.0,694.0,2742.0,1219.0,4655.0,945,1219.0,2129.0,3167.0,372,805,14,8651.0
241300417.0,CA d'Arles-Crau-Camargue-Montagnette,735.0,3029.0,1558.0,5322.0,689.0,3087.0,1512.0,5288.0,1142,1225.0,2368.0,3577.0,545,1739,14,10610.0
200033025.0,CA de Bar-le-Duc - Sud Meuse,230.0,864.0,409.0,1503.0,204.0,744.0,389.0,1337.0,219,342.0,672.0,1220.0,s.s,271,s.s,2840.0
242000354.0,CA de Bastia,228.0,972.0,412.0,1612.0,239.0,1093.0,473.0,1805.0,530,449.0,803.0,1032.0,s.s,367,s.s,3417.0
