codgeo,libgeo,code_epci,libelle_epci,code_departement,code_region,nature_epci,nb_communes
01001,L'Abergement-Clémenciat,200035210,CC Chalaronne Centre,01,84,CC,15
01028,Baneins,200035210,CC Chalaronne Centre,01,84,CC,15
01083,Chaneins,200035210,CC Chalaronne Centre,01,84,CC,15
01093,Châtillon-sur-Chalaronne,200035210,CC Chalaronne Centre,01,84,CC,15
01113,Condeissiat,200035210,CC Chalaronne Centre,01,84,CC,15
01146,Dompierre-sur-Chalaronne,200035210,CC Chalaronne Centre,01,84,CC,15
01272,Neuville-les-Dames,200035210,CC Chalaronne Centre,01,84,CC,15
01319,Relevant,200035210,CC Chalaronne Centre,01,84,CC,15
01328,Romans,200035210,CC Chalaronne Centre,01,84,CC,15
01335,Saint-André-le-Bouchoux,200035210,CC Chalaronne Centre,01,84,CC,15
01356,Saint-Georges-sur-Renon,200035210,CC Chalaronne Centre,01,84,CC,15
01389,Saint-Trivier-sur-Moignans,200035210,CC Chalaronne Centre,01,84,CC,15
01393,Sandrans,200035210,CC Chalaronne Centre,01,84,CC,15
01412,Sulignat,200035210,CC Chalaronne Centre,01,84,CC,15
01428,Valeins,200035210,CC Chalaronne Centre,01,84,CC,15
01002,L'Abergement-de-Varey,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01004,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01007,Ambronay,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01008,Ambutrix,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01041,Bettant,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01047,Blyes,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01054,Bourg-Saint-Christophe,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01088,Charnoz-sur-Ain,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01089,Château-Gaillard,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01099,Chazey-sur-Ain,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01149,Douvres,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01156,Faramans,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01198,Joyeux,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01202,Lagnieu,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01213,Leyment,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01224,Loyettes,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01244,Meximieux,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01260,Le Montellier,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01290,Pérouges,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01325,Rignieux-le-Franc,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01345,Saint-Denis-en-Bugey,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01349,Saint-Éloi,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01361,Saint-Jean-de-Niost,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01366,Sainte-Julie,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01378,Saint-Maurice-de-Gourdans,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01379,Saint-Maurice-de-Rémens,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01386,Saint-Sorlin-en-Bugey,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01390,Saint-Vulbas,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01396,Sault-Brénaz,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01411,Souclin,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01431,Vaux-en-Bugey,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01444,Villebois,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01450,Villieu-Loyes-Mollon,240100883,CC de la Plaine de l'Ain,01,84,CC,33
01005,Ambérieux-en-Dombes,200042497,CC Dombes Saône Vallée,01,84,CC,19
01021,Ars-sur-Formans,200042497,CC Dombes Saône Vallée,01,84,CC,19
01030,Beauregard,200042497,CC Dombes Saône Vallée,01,84,CC,19
01105,Civrieux,200042497,CC Dombes Saône Vallée,01,84,CC,19
01157,Fareins,200042497,CC Dombes Saône Vallée,01,84,CC,19
01166,Frans,200042497,CC Dombes Saône Vallée,01,84,CC,19
01238,Massieux,200042497,CC Dombes Saône Vallée,01,84,CC,19
01250,Misérieux,200042497,CC Dombes Saône Vallée,01,84,CC,19
01285,Parcieux,200042497,CC Dombes Saône Vallée,01,84,CC,19
01318,Rancé,200042497,CC Dombes Saône Vallée,01,84,CC,19
01322,Reyrieux,200042497,CC Dombes Saône Vallée,01,84,CC,19
01339,Saint-Bernard,200042497,CC Dombes Saône Vallée,01,84,CC,19
